Task: super-resolution with a scale factor of 2; sample: fixed COS-7 cell line; structure: clathrin-coated pits (CCP); fluorescence indicator: mEmerald; input microscope: wide-field microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; input pixel size: 62.6 x 62.6 nm. nearest interpolation with a factor of 2.; target microscope: linear structured illumination microscope with excitation numerical aperture of 1.41, detection numerical aperture of 1.3; target pixel size: 31.3 x 31.3 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: nuclei; fluorescence indicator: DAPI; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 405 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
Task: denoising; sample: fixed bovine pulmonary artery endothelial (BPAE) cell; structure: F-actin (filamentous actin); fluorescence indicator: Alexa Fluor 488; input microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; input pixel size: 170 x 170 nm; target microscope: Nikon Eclipse 90i wide-field fluorescence microscope equipped with a Nikon Plan Fluor 40x, 0.75 NA objective. Excitation wavelength 488 nm; target pixel size: 170 x 170 nm.
